"Region","Year","AgeLow","AgeUp","Sex","Variable","Quantile","Maternal","HIV","TB","OtherCMPN","Cardiovascular","Digestive","Neoplasms","OtherNCD","InterpVio","SelfHarm","Drowning","RTI","OtherInj","NatDis","CollectVio"
"World",2004,15,19,"M","Rate","Lower",0,0.08706,0.48169,0.63561,0.36797,0.27355,0.39645,0.71216,0.68205,0.47625,0.33396,1.00195,0.58645,0.17216,0.0768
"World",2004,15,19,"M","Rate","Point",0,0.10099,0.61765,0.6979,0.39609,0.29252,0.41635,0.74629,0.7105,0.50433,0.354,1.03719,0.61745,0.19818,0.08838
"World",2004,15,19,"M","Rate","Upper",0,0.11336,0.67343,0.8709,0.42823,0.31386,0.43966,0.7834,0.74497,0.5357,0.37781,1.07579,0.65495,0.23401,0.10403
"World",2005,15,19,"F","Deaths","Lower",14936,6508,24342,37225,21297,17290,20028,49247,8116,35480,5899,18548,22818,1723,1836
"World",2005,15,19,"F","Deaths","Point",16622,7722,30747,42286,23527,19407,21786,52660,9221,37652,6616,20125,25188,1804,2274
"World",2005,15,19,"F","Deaths","Upper",18554,8688,34498,51629,26334,21895,24030,56726,10434,40268,7445,22209,28177,1880,2879
"World",2005,15,19,"F","Fraction","Lower",0.04723,0.02041,0.07655,0.11827,0.06728,0.0542,0.06311,0.15538,0.02545,0.11196,0.01852,0.05814,0.07183,0.00534,0.00576
"World",2005,15,19,"F","Fraction","Point",0.05233,0.02431,0.0968,0.13313,0.07407,0.0611,0.06859,0.16579,0.02903,0.11854,0.02083,0.06336,0.0793,0.00568,0.00716
"World",2005,15,19,"F","Fraction","Upper",0.05771,0.0273,0.10779,0.16133,0.08178,0.06869,0.07493,0.1773,0.03272,0.12512,0.02321,0.06934,0.0879,0.00596,0.00898
"World",2005,15,19,"F","Rate","Lower",0.24694,0.1076,0.40246,0.61546,0.35212,0.28587,0.33112,0.81422,0.1342,0.58664,0.09753,0.30665,0.37727,0.02848,0.03036
"World",2005,15,19,"F","Rate","Point",0.2748,0.12766,0.50832,0.6991,0.38896,0.32085,0.36018,0.87061,0.15244,0.62248,0.10938,0.33272,0.41642,0.02983,0.0376
"World",2005,15,19,"F","Rate","Upper",0.30673,0.14364,0.57034,0.85351,0.43541,0.362,0.3973,0.93778,0.17251,0.6657,0.12309,0.36717,0.46584,0.03109,0.0476
"World",2005,15,19,"M","Deaths","Lower",0,6027,29513,39819,23207,17158,24695,44959,43017,29437,20702,62380,36649,2899,4039
"World",2005,15,19,"M","Deaths","Point",0,6970,37857,43528,24968,18329,25907,47107,44794,31206,21957,64563,38569,3028,4873
"World",2005,15,19,"M","Deaths","Upper",0,7964,41619,54270,27017,19667,27403,49522,46974,33159,23472,66958,40996,3149,6029
"World",2005,15,19,"M","Fraction","Lower",0,0.01454,0.0712,0.09672,0.0561,0.04159,0.05974,0.10899,0.10402,0.07111,0.05018,0.15118,0.08869,0.00694,0.00972
"World",2005,15,19,"M","Fraction","Point",0,0.01685,0.09152,0.10523,0.06036,0.04431,0.06263,0.11388,0.10829,0.07544,0.05308,0.15608,0.09324,0.00732,0.01178
"World",2005,15,19,"M","Fraction","Upper",0,0.01919,0.09976,0.12975,0.06495,0.04713,0.06549,0.11836,0.11277,0.07941,0.05603,0.16025,0.09809,0.00761,0.01445
"World",2005,15,19,"M","Rate","Lower",0,0.09453,0.4628,0.62443,0.36393,0.26908,0.38727,0.70503,0.67462,0.46163,0.32466,0.97828,0.57474,0.04546,0.06335
"World",2005,15,19,"M","Rate","Point",0,0.1093,0.59366,0.68259,0.39154,0.28742,0.40626,0.7387,0.70244,0.48936,0.34431,1.01244,0.60482,0.04748,0.07641
"World",2005,15,19,"M","Rate","Upper",0,0.12489,0.6526,0.85103,0.42361,0.30839,0.42969,0.77654,0.7366,0.51997,0.36806,1.04992,0.64287,0.04939,0.09454
"World",2006,15,19,"F","Deaths","Lower",14768,6712,22998,36583,21114,17105,19806,49094,8117,35343,5709,18385,22502,530,3001
"World",2006,15,19,"F","Deaths","Point",16380,7810,29088,41199,23316,19150,21476,52358,9246,37446,6426,20042,24834,579,3662
"World",2006,15,19,"F","Deaths","Upper",18244,8838,33525,50173,26066,21610,23696,56419,10488,40096,7258,22115,27781,627,4581
"World",2006,15,19,"F","Fraction","Lower",0.04732,0.02131,0.07331,0.11706,0.06774,0.05456,0.06301,0.15725,0.0259,0.11304,0.01822,0.0586,0.07178,0.00168,0.00957
"World",2006,15,19,"F","Fraction","Point",0.05233,0.02495,0.09293,0.13162,0.07449,0.06118,0.06861,0.16727,0.02954,0.11963,0.02053,0.06403,0.07934,0.00185,0.0117
"World",2006,15,19,"F","Fraction","Upper",0.05772,0.028,0.10629,0.15912,0.08206,0.06873,0.07498,0.17881,0.03332,0.12641,0.02299,0.07002,0.08785,0.002,0.0145
"World",2006,15,19,"F","Rate","Lower",0.24407,0.11093,0.38008,0.60461,0.34896,0.2827,0.32734,0.81136,0.13416,0.58417,0.09437,0.30386,0.37191,0.00876,0.0496
"World",2006,15,19,"F","Rate","Point",0.2707,0.12907,0.48072,0.68087,0.38533,0.31648,0.35492,0.86528,0.15281,0.61884,0.1062,0.33123,0.41042,0.00957,0.06052
"World",2006,15,19,"F","Rate","Upper",0.30149,0.14605,0.55406,0.8292,0.43077,0.35712,0.39161,0.93237,0.17333,0.6626,0.11995,0.36545,0.45911,0.01035,0.07571
"World",2006,15,19,"M","Deaths","Lower",0,6273,28740,39485,23314,17075,24168,44874,43119,29118,20143,62038,36010,922,6114
"World",2006,15,19,"M","Deaths","Point",0,7277,36633,43413,25141,18239,25355,47065,44871,30865,21382,64260,37932,982,7457
"World",2006,15,19,"M","Deaths","Upper",0,8364,40475,54007,27152,19590,26804,49462,47135,32856,22882,66706,40421,1046,9341
"World",2006,15,19,"M","Fraction","Lower",0,0.01531,0.06977,0.09532,0.05675,0.0416,0.05879,0.1096,0.10494,0.07081,0.04904,0.15125,0.08777,0.00222,0.01486
"World",2006,15,19,"M","Fraction","Point",0,0.01771,0.08916,0.10566,0.06119,0.04439,0.06171,0.11455,0.10921,0.07512,0.05204,0.1564,0.09232,0.00239,0.01815
"World",2006,15,19,"M","Fraction","Upper",0,0.02012,0.09816,0.12987,0.06587,0.04727,0.0646,0.1191,0.11377,0.07912,0.05506,0.16057,0.09737,0.00255,0.02241
"World",2006,15,19,"M","Rate","Lower",0,0.09822,0.44996,0.61812,0.36499,0.26732,0.37834,0.70255,0.6751,0.45586,0.31533,0.97128,0.56376,0.01443,0.09572
"World",2006,15,19,"M","Rate","Point",0,0.11391,0.5735,0.67963,0.39359,0.28553,0.39693,0.73681,0.70246,0.48319,0.33473,1.006,0.59382,0.01537,0.11674
"World",2006,15,19,"M","Rate","Upper",0,0.13093,0.63356,0.84547,0.42506,0.30664,0.4196,0.77427,0.73786,0.51433,0.35819,1.04426,0.63279,0.01638,0.14622
"World",2007,15,19,"F","Deaths","Lower",14533,6765,21760,35084,20573,16692,19404,48383,8138,34972,5445,18340,22170,396,2555
"World",2007,15,19,"F","Deaths","Point",16129,7831,27790,39340,22716,18648,21065,51615,9237,37121,6137,20005,24485,437,3099
"World",2007,15,19,"F","Deaths","Upper",17927,8894,30796,48536,25311,21070,23286,55498,10482,39750,6954,22115,27401,480,3839
"World",2007,15,19,"F","Fraction","Lower",0.04769,0.02205,0.07073,0.1147,0.06772,0.05455,0.06328,0.15868,0.02643,0.11511,0.01785,0.05977,0.07257,0.00128,0.00834
"World",2007,15,19,"F","Fraction","Point",0.05277,0.02562,0.09092,0.12871,0.07432,0.06101,0.06892,0.16887,0.03022,0.12145,0.02008,0.06545,0.08011,0.00143,0.01014
"World",2007,15,19,"F","Fraction","Upper",0.05813,0.0289,0.10026,0.15682,0.08174,0.06836,0.07533,0.18001,0.03414,0.12826,0.02262,0.07163,0.08878,0.00157,0.01243
"World",2007,15,19,"F","Rate","Lower",0.24195,0.11262,0.36225,0.58403,0.34251,0.27789,0.32303,0.8055,0.13549,0.58221,0.09066,0.30532,0.36911,0.00659,0.04253
"World",2007,15,19,"F","Rate","Point",0.26851,0.13036,0.46262,0.65491,0.37816,0.31043,0.35068,0.85925,0.15377,0.61797,0.10217,0.33303,0.40762,0.00728,0.05159
"World",2007,15,19,"F","Rate","Upper",0.2984,0.14806,0.51263,0.80798,0.42133,0.35077,0.38762,0.92387,0.17449,0.66169,0.11576,0.36811,0.45615,0.00798,0.06391
"World",2007,15,19,"M","Deaths","Lower",0,6392,28156,38308,22998,17027,23582,44434,42812,28526,19453,61011,35750,850,5313
"World",2007,15,19,"M","Deaths","Point",0,7381,35950,42397,24764,18183,24804,46611,44615,30298,20651,63267,37699,909,6456
"World",2007,15,19,"M","Deaths","Upper",0,8440,39824,52987,26803,19563,26310,49039,46971,32296,22130,65763,40098,974,8061
"World",2007,15,19,"M","Fraction","Lower",0,0.01589,0.06931,0.09444,0.05684,0.04225,0.05839,0.11031,0.10613,0.07066,0.04812,0.15159,0.08871,0.00208,0.01307
"World",2007,15,19,"M","Fraction","Point",0,0.01827,0.08899,0.10495,0.0613,0.04501,0.0614,0.11538,0.11044,0.075,0.05112,0.15661,0.09332,0.00225,0.01598
"World",2007,15,19,"M","Fraction","Upper",0,0.02059,0.09749,0.12976,0.06598,0.04787,0.06424,0.11998,0.11515,0.079,0.05411,0.16068,0.09827,0.00241,0.01965
"World",2007,15,19,"M","Rate","Lower",0,0.10062,0.44324,0.60304,0.36204,0.26806,0.37124,0.69952,0.67399,0.44906,0.30623,0.96047,0.56281,0.01339,0.08364
"World",2007,15,19,"M","Rate","Point",0,0.11619,0.56595,0.66745,0.38985,0.28625,0.39049,0.73378,0.70237,0.47698,0.32511,0.99599,0.59349,0.01431,0.10163
"World",2007,15,19,"M","Rate","Upper",0,0.13284,0.62688,0.83405,0.42191,0.30794,0.41417,0.7719,0.73937,0.50842,0.34839,1.03513,0.63122,0.01534,0.12688
"World",2008,15,19,"F","Deaths","Lower",14321,6633,20152,33886,19796,16119,18346,46941,8154,34432,4943,17362,21330,8947,2157
"World",2008,15,19,"F","Deaths","Point",15857,7776,25870,38126,21877,18063,20029,50096,9280,36552,5615,18958,23620,10244,2386
"World",2008,15,19,"F","Deaths","Upper",17645,8744,28799,46994,24469,20539,22250,54055,10548,39204,6399,21070,26504,12039,2675
"World",2008,15,19,"F","Fraction","Lower",0.0472,0.02186,0.0662,0.11179,0.06553,0.05314,0.06024,0.15454,0.02659,0.11363,0.0162,0.05659,0.0701,0.02921,0.00703
"World",2008,15,19,"F","Fraction","Point",0.0521,0.02555,0.085,0.12527,0.07188,0.05935,0.06581,0.1646,0.03049,0.1201,0.01845,0.06229,0.07761,0.03366,0.00784
"World",2008,15,19,"F","Fraction","Upper",0.05729,0.02869,0.0947,0.15315,0.079,0.06645,0.07218,0.17567,0.03445,0.12682,0.02088,0.06866,0.08611,0.03886,0.00874
"World",2008,15,19,"F","Rate","Lower",0.24124,0.11174,0.33948,0.57082,0.33347,0.27154,0.30905,0.79072,0.13735,0.58004,0.08328,0.29246,0.35932,0.15072,0.03634
"World",2008,15,19,"F","Rate","Point",0.26711,0.13099,0.43579,0.64225,0.36852,0.30428,0.3374,0.84389,0.15632,0.61574,0.09459,0.31936,0.3979,0.17257,0.04019
"World",2008,15,19,"F","Rate","Upper",0.29721,0.14728,0.48512,0.79157,0.41213,0.34595,0.37478,0.91048,0.17768,0.66037,0.10778,0.35491,0.44643,0.20281,0.04505
"World",2008,15,19,"M","Deaths","Lower",0,6492,26986,37596,22613,16731,22624,43658,43329,28119,18473,57803,33998,12696,4518
"World",2008,15,19,"M","Deaths","Point",0,7392,34512,42213,24339,17898,23851,45811,45214,29913,19679,59961,35976,14865,4973
"World",2008,15,19,"M","Deaths","Upper",0,8442,39140,52954,26445,19344,25352,48355,47653,32007,21167,62616,38493,17930,5604
"World",2008,15,19,"M","Fraction","Lower",0,0.016,0.06591,0.09288,0.0554,0.04127,0.05572,0.10768,0.10662,0.06919,0.04549,0.14243,0.08409,0.03126,0.01103
"World",2008,15,19,"M","Fraction","Point",0,0.01818,0.08488,0.10382,0.05986,0.04402,0.05866,0.11267,0.1112,0.07357,0.0484,0.14747,0.08848,0.03656,0.01223
"World",2008,15,19,"M","Fraction","Upper",0,0.02048,0.09508,0.12821,0.06444,0.04691,0.06157,0.11721,0.11598,0.0775,0.0513,0.15169,0.09361,0.04342,0.0137
