"ISO3","Year","AgeLow","AgeUp","Sex","Variable","Quantile","HIV","LRI","TB","Diarrhoeal","Malaria","OtherCMPN","Digestive","Neoplasms","OtherNCD","Drowning","RTI","OtherInj","NatDis","CollectVio"
"AFG",2015,10,14,"B","Fraction","Point",0.00032,0.05181,0.02815,0.07548,0.00062,0.17161,0.02391,0.02754,0.06229,0.02662,0.02453,0.07965,0.00196,0.42551
"AFG",2015,10,14,"B","Fraction","Upper",0.00068,0.0865,0.08481,0.1094,0.00082,0.247,0.03501,0.04071,0.08619,0.04012,0.03533,0.11151,0.01214,0.81725
"AFG",2015,10,14,"B","Rate","Lower",0,0.0001,0.00081,0.00171,0.00001,0.0003,0.00048,0.00061,0.00161,0.00066,0.00057,0.00189,0.00105,0.16972
"AFG",2015,10,14,"B","Rate","Point",0.00082,0.13302,0.07228,0.1938,0.00159,0.44062,0.06139,0.07071,0.15993,0.06835,0.06298,0.2045,0.00503,1.09251
"AFG",2015,10,14,"B","Rate","Upper",0.00314,0.46562,0.26153,0.58641,0.00466,1.34358,0.18153,0.21452,0.46193,0.20414,0.19027,0.6049,0.01059,1.42873
"AFG",2016,10,14,"B","Deaths","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",2016,10,14,"B","Deaths","Point",1,105,54,147,2,343,47,59,122,54,49,164,5,1088
"AFG",2016,10,14,"B","Deaths","Upper",4,441,176,522,9,1288,168,207,420,189,175,577,10,1544
"AFG",2016,10,14,"B","Fraction","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",2016,10,14,"B","Fraction","Point",0.00029,0.04674,0.02394,0.06564,0.0011,0.15319,0.02091,0.02624,0.0546,0.02426,0.02179,0.07331,0.00227,0.48572
"AFG",2016,10,14,"B","Fraction","Upper",0.00068,0.08385,0.07576,0.09964,0.00155,0.23854,0.03245,0.04097,0.08043,0.03811,0.03297,0.10935,0.01491,0.84718
"AFG",2016,10,14,"B","Rate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",2016,10,14,"B","Rate","Point",0.00067,0.10836,0.0555,0.15217,0.00255,0.35514,0.04848,0.06083,0.12658,0.05624,0.05052,0.16996,0.00526,1.12605
"AFG",2016,10,14,"B","Rate","Upper",0.00313,0.45505,0.18117,0.53906,0.00882,1.33036,0.17341,0.21377,0.43365,0.19512,0.17973,0.59573,0.01035,1.59432
"AFG",2017,10,14,"B","Deaths","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",2017,10,14,"B","Deaths","Point",1,114,56,157,2,372,50,68,129,60,53,185,18,854
"AFG",2017,10,14,"B","Deaths","Upper",4,509,218,587,10,1433,187,248,464,214,199,691,26,1160
"AFG",2017,10,14,"B","Fraction","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",2017,10,14,"B","Fraction","Point",0.00033,0.05386,0.02634,0.07394,0.00116,0.17563,0.02349,0.03188,0.06113,0.0281,0.025,0.0875,0.00836,0.40328
"AFG",2017,10,14,"B","Fraction","Upper",0.00085,0.09195,0.08039,0.10952,0.00157,0.2642,0.03577,0.04789,0.08721,0.04284,0.03685,0.12607,0.0796,0.82392
"AFG",2017,10,14,"B","Rate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",2017,10,14,"B","Rate","Point",0.00071,0.11555,0.05651,0.15863,0.00249,0.37678,0.05039,0.06839,0.13114,0.06028,0.05363,0.18772,0.01793,0.86517
"AFG",2017,10,14,"B","Rate","Upper",0.00378,0.51374,0.22055,0.59335,0.00914,1.44867,0.18813,0.25061,0.46872,0.21603,0.20043,0.69763,0.02623,1.17261
"AFG",2018,10,14,"B","Deaths","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",2018,10,14,"B","Deaths","Point",1,150,78,208,4,494,66,95,170,80,71,261,2,350
"AFG",2018,10,14,"B","Deaths","Upper",5,614,275,714,13,1763,226,321,549,263,242,886,5,411
"AFG",2018,10,14,"B","Fraction","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",2018,10,14,"B","Fraction","Point",0.00048,0.07384,0.03859,0.1023,0.0019,0.2432,0.03233,0.04696,0.08383,0.03944,0.03516,0.12858,0.00094,0.17247
"AFG",2018,10,14,"B","Fraction","Upper",0.00101,0.10913,0.14039,0.13204,0.00215,0.31047,0.04387,0.06298,0.10426,0.05345,0.04562,0.15942,0.0101,0.6517
"AFG",2018,10,14,"B","Rate","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",2018,10,14,"B","Rate","Point",0.00097,0.14894,0.07784,0.20634,0.00383,0.49054,0.06521,0.09472,0.16909,0.07955,0.07092,0.25935,0.0019,0.34787
"AFG",2018,10,14,"B","Rate","Upper",0.00441,0.60824,0.2726,0.70704,0.01267,1.74806,0.22389,0.31809,0.54419,0.26024,0.23931,0.87793,0.00497,0.40778
"AFG",2019,10,14,"B","Deaths","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",2019,10,14,"B","Deaths","Point",1,146,72,198,2,471,63,97,165,78,70,267,2,328
"AFG",2019,10,14,"B","Deaths","Upper",7,641,289,740,9,1809,232,370,600,290,260,968,5,386
"AFG",2019,10,14,"B","Fraction","Lower",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFG",2019,10,14,"B","Fraction","Point",0.00066,0.07437,0.03684,0.10077,0.00116,0.24031,0.03213,0.04957,0.08421,0.03995,0.0355,0.13628,0.00101,0.16723
