"Region","Year","AgeLow","AgeUp","Sex","Deaths","Qx","HIV","LRI","TB","Diarrhoeal","Malaria","OtherCMPN","Digestive","Neoplasms","OtherNCD","Drowning","RTI","OtherInj","NatDis","CollectVio"
"Eastern and Southern Africa",2004,10,14,"B",78578,8.01853,0.11357,0.10988,0.02201,0.12466,0.12351,0.20524,0.03154,0.01383,0.13386,0.04906,0.0327,0.02668,0.00079,0.01266
"Eastern and Southern Africa",2005,10,14,"B",77895,7.76767,0.12362,0.11398,0.02259,0.12095,0.10641,0.20611,0.03229,0.01604,0.13829,0.05179,0.03444,0.02929,0.00031,0.00389
"Eastern and Southern Africa",2006,10,14,"B",77046,7.50848,0.13191,0.11571,0.02224,0.11324,0.10007,0.19947,0.03239,0.01804,0.14075,0.05373,0.03583,0.03213,0.00109,0.00341
"Eastern and Southern Africa",2007,10,14,"B",76256,7.25068,0.13703,0.11608,0.02336,0.10486,0.09356,0.19619,0.03253,0.02039,0.14335,0.05569,0.03716,0.03551,0.0005,0.00378
"Eastern and Southern Africa",2008,10,14,"B",75490,6.99609,0.1401,0.11751,0.02199,0.0974,0.08869,0.19323,0.03261,0.02303,0.14554,0.05728,0.03845,0.03936,0.00045,0.00435
"Eastern and Southern Africa",2009,10,14,"B",74998,6.77162,0.14008,0.11559,0.02177,0.0885,0.09763,0.18623,0.03164,0.02535,0.14446,0.05769,0.03919,0.04334,0.0003,0.00826
"Eastern and Southern Africa",2010,10,14,"B",73942,6.50585,0.13981,0.11554,0.0218,0.08263,0.09956,0.18416,0.03103,0.02815,0.14454,0.05865,0.04043,0.04819,0.00091,0.0046
"Eastern and Southern Africa",2011,10,14,"B",73098,6.28014,0.13851,0.11616,0.0218,0.07891,0.09066,0.1852,0.03066,0.03108,0.14509,0.05954,0.04161,0.05355,0.00045,0.00677
"Eastern and Southern Africa",2012,10,14,"B",72295,6.06077,0.13624,0.11605,0.02191,0.0758,0.08888,0.18578,0.02999,0.03376,0.1443,0.05948,0.04257,0.05897,0.00034,0.00593
"Eastern and Southern Africa",2013,10,14,"B",71685,5.86442,0.13312,0.11558,0.02191,0.07288,0.0873,0.18626,0.02924,0.0362,0.14335,0.05914,0.04319,0.06412,0.0007,0.00699
"Eastern and Southern Africa",2014,10,14,"B",71160,5.68044,0.12905,0.11554,0.02271,0.07051,0.07709,0.18985,0.029,0.03953,0.14429,0.05986,0.04409,0.07016,0.00026,0.00808
"Eastern and Southern Africa",2015,10,14,"B",70745,5.50956,0.12614,0.11452,0.0221,0.0673,0.08357,0.18716,0.02805,0.04191,0.14273,0.0596,0.04431,0.07518,0.0003,0.00715
"Eastern and Southern Africa",2016,10,14,"B",70498,5.3577,0.12208,0.1132,0.02158,0.06445,0.08865,0.18315,0.02724,0.04469,0.14191,0.05949,0.04461,0.08036,0.00066,0.00794
"Eastern and Southern Africa",2017,10,14,"B",70339,5.21587,0.11628,0.11166,0.02088,0.06222,0.09817,0.17984,0.02632,0.0473,0.13995,0.05916,0.04473,0.08543,0.00043,0.00764
"Eastern and Southern Africa",2018,10,14,"B",70293,5.08699,0.10952,0.11462,0.01929,0.06199,0.08879,0.18496,0.02587,0.05013,0.14062,0.05988,0.04554,0.09134,0.00057,0.00688
"Eastern and Southern Africa",2019,10,14,"B",70195,4.96223,0.09927,0.11467,0.01867,0.06102,0.09063,0.1896,0.02537,0.05289,0.14031,0.06025,0.04601,0.09711,0.0014,0.00279
"Eastern Europe and central Asia",2000,10,14,"B",15814,2.21799,0.02306,0.05163,0.00685,0.00738,0,0.07118,0.0219,0.1504,0.25264,0.09728,0.1292,0.17069,0.00095,0.01685
"Eastern Europe and central Asia",2001,10,14,"B",15152,2.17564,0.02394,0.05165,0.00779,0.00725,0,0.07093,0.02047,0.15505,0.26038,0.09539,0.12998,0.17158,0.00083,0.00476
"Eastern Europe and central Asia",2002,10,14,"B",14248,2.11554,0.01625,0.05014,0.00772,0.00719,0,0.06868,0.02045,0.15812,0.26666,0.09339,0.12812,0.17457,0.00235,0.00635
"Eastern Europe and central Asia",2003,10,14,"B",13243,2.04968,0.00939,0.05051,0.00788,0.007,0,0.06954,0.02135,0.16006,0.27509,0.0921,0.12661,0.17583,0.0018,0.00286
"Eastern Europe and central Asia",2004,10,14,"B",12268,1.98357,0.00462,0.05066,0.00768,0.00687,0,0.06764,0.02095,0.16319,0.27921,0.09072,0.12477,0.17522,0.00186,0.00661
"Eastern Europe and central Asia",2005,10,14,"B",11398,1.91919,0.00242,0.0511,0.00787,0.00685,0,0.06642,0.02111,0.16583,0.28438,0.09117,0.12092,0.17674,0.00095,0.00424
"Eastern Europe and central Asia",2006,10,14,"B",10651,1.85592,0.0024,0.05173,0.00788,0.0066,0,0.0642,0.02179,0.16704,0.28862,0.0885,0.12079,0.17721,0.00109,0.00215
"Eastern Europe and central Asia",2007,10,14,"B",9968,1.79241,0.00214,0.05065,0.00789,0.00646,0,0.0631,0.02162,0.16905,0.29301,0.08867,0.11769,0.17631,0.00061,0.0028
"Eastern Europe and central Asia",2008,10,14,"B",9353,1.73291,0.00301,0.05143,0.00842,0.00674,0,0.06131,0.02117,0.16987,0.29393,0.08654,0.11517,0.17547,0.00162,0.00532
"Eastern Europe and central Asia",2009,10,14,"B",8763,1.66616,0.00367,0.05076,0.00826,0.00632,0,0.0597,0.02158,0.17441,0.29976,0.08516,0.11157,0.17497,0.00074,0.00311
"Eastern Europe and central Asia",2010,10,14,"B",8231,1.60351,0.00455,0.05103,0.00824,0.00627,0,0.05753,0.02215,0.17565,0.30474,0.08398,0.10784,0.17205,0.00188,0.00408
