"Region","Year","AgeLow","AgeUp","Sex","Deaths","Qx","HIV","LRI","TB","Diarrhoeal","Malaria","OtherCMPN","Digestive","Neoplasms","OtherNCD","Drowning","RTI","OtherInj","NatDis","CollectVio"
"Latin America and Caribbean",2008,10,14,"B",20546,1.84958,0.0122,0.04597,0.00527,0.01086,0.00071,0.07997,0.0293,0.13233,0.28498,0.06659,0.12379,0.20085,0.00716,0.00001
"Latin America and Caribbean",2009,10,14,"B",20243,1.8245,0.01143,0.05484,0.00489,0.01041,0.00039,0.07792,0.02994,0.14084,0.27959,0.06638,0.11644,0.20317,0.00376,0.00001
"Latin America and Caribbean",2010,10,14,"B",37556,3.38885,0.00553,0.02451,0.00277,0.00607,0.00037,0.0432,0.01532,0.07375,0.15211,0.03293,0.06039,0.11041,0.47263,0
"Latin America and Caribbean",2011,10,14,"B",19499,1.76673,0.01088,0.04661,0.0044,0.01172,0.0006,0.08277,0.02907,0.14401,0.27958,0.05764,0.113,0.21232,0.0073,0.0001
"Latin America and Caribbean",2012,10,14,"B",19091,1.7374,0.01013,0.04591,0.00437,0.01103,0.0005,0.07821,0.02609,0.14395,0.28193,0.0566,0.11738,0.22059,0.00331,0.00001
"Latin America and Caribbean",2013,10,14,"B",18697,1.70926,0.00964,0.04739,0.0046,0.01034,0.00041,0.07622,0.02834,0.1478,0.28653,0.0588,0.1114,0.2157,0.0028,0.00003
"Latin America and Caribbean",2014,10,14,"B",18313,1.6829,0.00827,0.04587,0.00417,0.00964,0.00027,0.07514,0.02849,0.15382,0.29022,0.05408,0.11063,0.21642,0.00298,0
"Latin America and Caribbean",2015,10,14,"B",17945,1.65835,0.00919,0.04229,0.00523,0.01054,0.00057,0.07532,0.02897,0.1564,0.28826,0.05876,0.10685,0.21473,0.00289,0
"Latin America and Caribbean",2016,10,14,"B",17536,1.63404,0.00722,0.04539,0.00355,0.01006,0.00039,0.07109,0.02889,0.15478,0.3083,0.04788,0.10482,0.2109,0.00668,0.00003
"Latin America and Caribbean",2017,10,14,"B",17121,1.60925,0.00728,0.04373,0.00474,0.01007,0.00051,0.06704,0.02934,0.15436,0.30323,0.04908,0.10229,0.22336,0.00494,0.00001
"Latin America and Caribbean",2018,10,14,"B",16714,1.58417,0.0073,0.0428,0.00462,0.00987,0.00051,0.07051,0.029,0.1561,0.30035,0.05128,0.10421,0.21716,0.00627,0
"Latin America and Caribbean",2019,10,14,"B",16313,1.55737,0.00666,0.04327,0.00459,0.00989,0.00044,0.07103,0.02904,0.15684,0.30011,0.05132,0.1046,0.2179,0.00432,0
"Middle East and North Africa",2000,10,14,"B",20552,2.61059,0.00036,0.07114,0.00427,0.0298,0.00118,0.18535,0.02049,0.14012,0.19481,0.07673,0.09255,0.17412,0.00023,0.00886
"Middle East and North Africa",2001,10,14,"B",19841,2.52215,0.00034,0.07022,0.00428,0.02985,0.00148,0.18262,0.0206,0.14218,0.19741,0.0746,0.09156,0.17343,0.00453,0.0069
"Middle East and North Africa",2002,10,14,"B",19133,2.44504,0.00042,0.06922,0.00453,0.02993,0.00185,0.18017,0.02061,0.14446,0.19995,0.07264,0.09033,0.17304,0.0024,0.01047
"Middle East and North Africa",2003,10,14,"B",25373,3.26608,0.00034,0.04976,0.0038,0.02173,0.00128,0.13035,0.01514,0.10635,0.14851,0.05178,0.06518,0.12594,0.11136,0.16849
"Middle East and North Africa",2004,10,14,"B",21444,2.78405,0.00046,0.05626,0.00427,0.02405,0.00119,0.14663,0.0173,0.12262,0.17118,0.05777,0.07353,0.14348,0.00295,0.17833
"Middle East and North Africa",2005,10,14,"B",21528,2.8166,0.00045,0.05378,0.00431,0.02234,0.00128,0.13922,0.01683,0.12019,0.16865,0.05493,0.07034,0.13802,0.0035,0.20615
"Middle East and North Africa",2006,10,14,"B",23927,3.15896,0.00048,0.04696,0.00383,0.01909,0.00151,0.12141,0.01478,0.10721,0.15165,0.04756,0.06144,0.12167,0.00042,0.30201
"Middle East and North Africa",2007,10,14,"B",22405,2.98628,0.00058,0.04853,0.00386,0.0195,0.00244,0.12443,0.01544,0.1139,0.1612,0.0487,0.06383,0.12622,0.00085,0.27053
"Middle East and North Africa",2008,10,14,"B",18538,2.49042,0.00081,0.05703,0.00441,0.02294,0.00167,0.14499,0.01846,0.1373,0.19547,0.05659,0.07518,0.14866,0.00141,0.13509
"Middle East and North Africa",2009,10,14,"B",17124,2.31442,0.00102,0.05963,0.00462,0.02409,0.00256,0.14904,0.01985,0.14829,0.21246,0.05893,0.07909,0.15744,0.00095,0.08203
"Middle East and North Africa",2010,10,14,"B",16374,2.2207,0.00133,0.05947,0.0047,0.02421,0.00488,0.14537,0.02029,0.15438,0.22109,0.0591,0.08061,0.16069,0.00067,0.0632
"Middle East and North Africa",2011,10,14,"B",17023,2.31876,0.00142,0.05441,0.00448,0.02229,0.0027,0.12979,0.0192,0.14682,0.21049,0.05403,0.07409,0.15079,0.00012,0.12937
"Middle East and North Africa",2012,10,14,"B",22195,3.0285,0.00114,0.04017,0.00334,0.01656,0.00235,0.09409,0.01445,0.11151,0.16013,0.03955,0.05511,0.11408,0.00112,0.34641
"Middle East and North Africa",2013,10,14,"B",24550,3.34564,0.00112,0.03471,0.00289,0.01402,0.00148,0.07907,0.01271,0.09873,0.1426,0.03388,0.04779,0.10111,0.00041,0.42947
"Middle East and North Africa",2014,10,14,"B",27613,3.74632,0.00097,0.02995,0.00274,0.01198,0.00106,0.06703,0.0112,0.087,0.12586,0.02891,0.04088,0.08944,0.00021,0.50277
"Middle East and North Africa",2015,10,14,"B",25133,3.38118,0.00092,0.03166,0.00333,0.01264,0.00095,0.07011,0.01209,0.09342,0.1367,0.03023,0.04338,0.09634,0,0.46822
"Middle East and North Africa",2016,10,14,"B",24596,3.2658,0.00079,0.03151,0.00319,0.01253,0.00129,0.06891,0.01214,0.09415,0.13915,0.02962,0.04295,0.09717,0.00014,0.46645
"Middle East and North Africa",2017,10,14,"B",22003,2.87127,0.00089,0.0346,0.00353,0.01382,0.00162,0.07498,0.01349,0.10481,0.1559,0.0322,0.04708,0.10832,0.00018,0.40857
"Middle East and North Africa",2018,10,14,"B",19010,2.43006,0.00095,0.04008,0.00407,0.01604,0.00161,0.08552,0.01581,0.12212,0.18436,0.03669,0.05381,0.12491,0.00027,0.31376
"Middle East and North Africa",2019,10,14,"B",17797,2.22044,0.00098,0.04299,0.00418,0.01709,0.0017,0.09004,0.01717,0.13238,0.20217,0.03882,0.05716,0.13442,0.0003,0.2606
"North America",2000,10,14,"B",4549,0.99845,0.00652,0.0108,0.00045,0,0,0.02944,0.0164,0.13655,0.29667,0.04187,0.21857,0.24138,0.00135,0
"North America",2001,10,14,"B",4463,0.96516,0.00497,0.01113,0,0.00071,0.00023,0.03112,0.01866,0.14756,0.29526,0.04043,0.21643,0.23145,0.00207,0
"North America",2002,10,14,"B",4391,0.93873,0.00475,0.01284,0,0.00045,0,0.03817,0.01624,0.14199,0.30048,0.03819,0.21635,0.22965,0.0009,0
"North America",2003,10,14,"B",4320,0.91529,0.00487,0.01955,0.00072,0.00069,0,0.02353,0.0166,0.1507,0.30874,0.03504,0.22171,0.21716,0.0007,0
"North America",2004,10,14,"B",4229,0.89154,0.00429,0.01231,0.00047,0.00023,0,0.02476,0.0135,0.14086,0.30426,0.03375,0.23073,0.23385,0.00099,0
"North America",2005,10,14,"B",4103,0.86582,0.00251,0.01465,0.00024,0.00174,0,0.03031,0.0152,0.14809,0.31197,0.03479,0.20275,0.23433,0.00343,0
"North America",2006,10,14,"B",3939,0.83735,0.00355,0.00902,0,0.00028,0,0.03273,0.01718,0.14404,0.31609,0.03214,0.20465,0.2376,0.00274,0
"North America",2007,10,14,"B",3758,0.80639,0.00243,0.01596,0,0.00054,0,0.03088,0.01811,0.1543,0.32158,0.03016,0.20122,0.22376,0.00107,0
"North America",2008,10,14,"B",3578,0.77538,0.0003,0.01579,0.00059,0,0,0.03008,0.0149,0.1488,0.34018,0.03957,0.16742,0.23888,0.00349,0
"North America",2009,10,14,"B",3424,0.7476,0.00088,0.03896,0,0.00058,0,0.03308,0.01478,0.15116,0.34276,0.02786,0.15596,0.23249,0.00148,0
"North America",2010,10,14,"B",3311,0.72494,0.00062,0.01117,0.00031,0.00188,0,0.02729,0.01581,0.17348,0.33795,0.03791,0.15525,0.23676,0.00158,0
"North America",2011,10,14,"B",3230,0.70987,0.00032,0.01781,0.00063,0.0025,0,0.02877,0.01628,0.15364,0.34724,0.03603,0.14836,0.24281,0.00562,0
"North America",2012,10,14,"B",3191,0.70266,0.00097,0.01356,0,0.00197,0,0.02762,0.01452,0.17894,0.32442,0.0366,0.14494,0.25326,0.0032,0
"North America",2013,10,14,"B",3186,0.70268,0.00032,0.01973,0,0.00094,0,0.02674,0.01814,0.17082,0.32102,0.03061,0.14098,0.27007,0.00063,0
"North America",2014,10,14,"B",3204,0.70784,0,0.01471,0,0.00222,0,0.03022,0.01404,0.15964,0.33241,0.03443,0.12582,0.28488,0.00162,0
"North America",2015,10,14,"B",3238,0.71597,0.00031,0.01363,0,0.00188,0,0.02948,0.01602,0.15759,0.35211,0.02892,0.13351,0.26533,0.00121,0
"North America",2016,10,14,"B",3302,0.72551,0.00031,0.01396,0,0.00186,0,0.03132,0.01924,0.1579,0.31329,0.03443,0.14955,0.27751,0.00061,0
"North America",2017,10,14,"B",3367,0.73477,0,0.01711,0,0.0021,0,0.02343,0.01481,0.1464,0.3309,0.0331,0.12967,0.30133,0.00115,0
